aw_product_id,product_name,description,merchant_category,search_price,currency,aw_image_url,aw_deep_link,brand_name,advertiser
SMP-1001,"Lagom 3-Seater Linen Sofa, Sage","SAMPLE product. A relaxed three-seater sofa in soft sage linen with solid oak legs, deep seats and feather-blend cushions.",Sofas,1190.00,EUR,https://picsum.photos/seed/SMP-1001/400,https://www.awin1.com/cread.php?awinmid=0000&awinaffid=0000&clickref=sample&ued=https%3A%2F%2Fexample.test%2Fp%2FSMP-1001,Nordhem,SampleHome
SMP-1002,"Fenwick 2-Seater Boucle Sofa, Cream","SAMPLE product. Compact two-seater sofa upholstered in textured cream boucle, ideal for smaller Paris apartments.",Sofas,749.00,EUR,https://picsum.photos/seed/SMP-1002/400,https://www.awin1.com/cread.php?awinmid=0000&awinaffid=0000&clickref=sample&ued=https%3A%2F%2Fexample.test%2Fp%2FSMP-1002,Maison Clair,SampleHome
SMP-1003,"Halden Velvet Accent Armchair, Forest","SAMPLE product. A curved-back accent armchair in forest-green velvet with tapered walnut legs and brass feet.",Armchairs,439.00,EUR,https://picsum.photos/seed/SMP-1003/400,https://www.awin1.com/cread.php?awinmid=0000&awinaffid=0000&clickref=sample&ued=https%3A%2F%2Fexample.test%2Fp%2FSMP-1003,Halden,SampleHome
SMP-1004,"Rattan Lounge Armchair, Natural","SAMPLE product. Woven natural-rattan lounge chair with a high curved back and a removable off-white seat cushion.",Chairs & Armchairs,289.00,EUR,https://picsum.photos/seed/SMP-1004/400,https://www.awin1.com/cread.php?awinmid=0000&awinaffid=0000&clickref=sample&ued=https%3A%2F%2Fexample.test%2Fp%2FSMP-1004,Cane & Co,SampleHome
SMP-1005,"Otto Round Walnut Coffee Table","SAMPLE product. A round coffee table with a solid walnut top and a sculptural three-leg base, 90cm diameter.",Coffee Tables,329.00,EUR,https://picsum.photos/seed/SMP-1005/400,https://www.awin1.com/cread.php?awinmid=0000&awinaffid=0000&clickref=sample&ued=https%3A%2F%2Fexample.test%2Fp%2FSMP-1005,Otto,SampleHome
SMP-1006,"Marble & Brass Coffee Table, Small","SAMPLE product. Petite coffee table pairing a white marble top with a slim brushed-brass frame.",Coffee Tables,219.00,EUR,https://picsum.photos/seed/SMP-1006/400,https://www.awin1.com/cread.php?awinmid=0000&awinaffid=0000&clickref=sample&ued=https%3A%2F%2Fexample.test%2Fp%2FSMP-1006,Lumiere,SampleHome
SMP-1007,"Pebble Oak Side Table","SAMPLE product. A small pebble-shaped side table in pale oak, perfect beside a sofa or bed.",Side & End Tables,99.00,EUR,https://picsum.photos/seed/SMP-1007/400,https://www.awin1.com/cread.php?awinmid=0000&awinaffid=0000&clickref=sample&ued=https%3A%2F%2Fexample.test%2Fp%2FSMP-1007,Otto,SampleHome
SMP-1008,"Tubular Steel Side Table, Black","SAMPLE product. Minimal cylindrical side table in matte-black powder-coated steel, 45cm tall.",Side & End Tables,69.00,EUR,https://picsum.photos/seed/SMP-1008/400,https://www.awin1.com/cread.php?awinmid=0000&awinaffid=0000&clickref=sample&ued=https%3A%2F%2Fexample.test%2Fp%2FSMP-1008,Forma,SampleHome
SMP-1009,"Hand-Knotted Wool Rug, Oatmeal 160x230","SAMPLE product. A hand-knotted wool area rug in oatmeal with a subtle low pile and fringed edges.",Rugs,499.00,EUR,https://picsum.photos/seed/SMP-1009/400,https://www.awin1.com/cread.php?awinmid=0000&awinaffid=0000&clickref=sample&ued=https%3A%2F%2Fexample.test%2Fp%2FSMP-1009,Tæppe,SampleHome
SMP-1010,"Berber-Style Diamond Rug, Cream 120x170","SAMPLE product. Soft cream rug with a charcoal Berber diamond motif, machine-washable.",Rugs & Carpets,129.00,EUR,https://picsum.photos/seed/SMP-1010/400,https://www.awin1.com/cread.php?awinmid=0000&awinaffid=0000&clickref=sample&ued=https%3A%2F%2Fexample.test%2Fp%2FSMP-1010,Tæppe,SampleHome
SMP-1011,"Arc Floor Lamp, Brushed Brass","SAMPLE product. An arched floor lamp with a brushed-brass stem and a marble base, casting a warm overhead glow.",Floor Lamps,239.00,EUR,https://picsum.photos/seed/SMP-1011/400,https://www.awin1.com/cread.php?awinmid=0000&awinaffid=0000&clickref=sample&ued=https%3A%2F%2Fexample.test%2Fp%2FSMP-1011,Lumiere,SampleHome
SMP-1012,"Tripod Floor Lamp, Oak & Linen Shade","SAMPLE product. A Scandinavian tripod floor lamp in oak with a natural-linen drum shade.",Floor Lamps,119.00,EUR,https://picsum.photos/seed/SMP-1012/400,https://www.awin1.com/cread.php?awinmid=0000&awinaffid=0000&clickref=sample&ued=https%3A%2F%2Fexample.test%2Fp%2FSMP-1012,Nordhem,SampleHome
SMP-1013,"Ceramic Table Lamp, Sand Glaze","SAMPLE product. A rounded ceramic table lamp in a matte sand glaze with a warm-white cotton shade.",Table Lamps,79.00,EUR,https://picsum.photos/seed/SMP-1013/400,https://www.awin1.com/cread.php?awinmid=0000&awinaffid=0000&clickref=sample&ued=https%3A%2F%2Fexample.test%2Fp%2FSMP-1013,Glaze Studio,SampleHome
SMP-1014,"Mushroom Glass Table Lamp, Amber","SAMPLE product. A retro mushroom-shaped table lamp in amber glass with a soft dimmable glow.",Lighting,109.00,EUR,https://picsum.photos/seed/SMP-1014/400,https://www.awin1.com/cread.php?awinmid=0000&awinaffid=0000&clickref=sample&ued=https%3A%2F%2Fexample.test%2Fp%2FSMP-1014,Lumiere,SampleHome
SMP-1015,"Oak Ladder Bookshelf, 5-Tier","SAMPLE product. A leaning five-tier ladder bookshelf in solid oak, slim footprint for narrow walls.",Shelving & Storage,199.00,EUR,https://picsum.photos/seed/SMP-1015/400,https://www.awin1.com/cread.php?awinmid=0000&awinaffid=0000&clickref=sample&ued=https%3A%2F%2Fexample.test%2Fp%2FSMP-1015,Otto,SampleHome
SMP-1016,"Modular Cube Shelving Unit, White","SAMPLE product. An open modular cube shelving unit in matte white, configurable as a room divider.",Bookcases & Shelving,259.00,EUR,https://picsum.photos/seed/SMP-1016/400,https://www.awin1.com/cread.php?awinmid=0000&awinaffid=0000&clickref=sample&ued=https%3A%2F%2Fexample.test%2Fp%2FSMP-1016,Forma,SampleHome
